amount,merchant_category,hour,distance_from_home,foreign_transaction,online_order,high_value,time_since_last,velocity,card_present,label
9,1,15,16,0,0,0,24,1,1,0
31,1,20,13,0,0,0,24,1,1,0
87,1,9,7,0,0,0,24,1,1,0
95,1,20,4,0,0,0,24,1,1,0
150,1,16,16,0,0,0,24,1,1,0
87,1,16,14,0,0,0,24,1,1,0
104,1,8,8,0,0,0,24,1,1,0
58,1,8,5,0,0,0,24,1,1,0
46,1,11,11,0,0,0,24,1,1,0
99,1,19,14,0,0,0,24,1,1,0
36,1,11,17,0,0,0,24,1,1,0
110,1,13,14,0,0,0,24,1,1,0
60,1,17,4,0,0,0,24,1,1,0
42,1,8,17,0,0,0,24,1,1,0
96,1,10,18,0,0,0,24,1,1,0
97,1,18,4,0,0,0,24,1,1,0
127,1,16,2,0,0,0,24,1,1,0
67,1,12,18,0,0,0,24,1,1,0
124,1,17,6,0,0,0,24,1,1,0
46,1,9,14,0,0,0,24,1,1,0
135,1,19,20,0,0,0,24,1,1,0
41,1,16,17,0,0,0,24,1,1,0
51,1,12,7,0,0,0,24,1,1,0
142,1,19,7,0,0,0,24,1,1,0
125,1,14,6,0,0,0,24,1,1,0
120,1,13,19,0,0,0,24,1,1,0
101,1,9,1,0,0,0,24,1,1,0
55,1,8,20,0,0,0,24,1,1,0
129,1,9,13,0,0,0,24,1,1,0
94,1,17,13,0,0,0,24,1,1,0
16,1,16,3,0,0,0,24,1,1,0
58,1,20,1,0,0,0,24,1,1,0
117,1,16,17,0,0,0,24,1,1,0
17,1,11,16,0,0,0,24,1,1,0
93,1,16,10,0,0,0,24,1,1,0
125,1,19,1,0,0,0,24,1,1,0
103,1,10,8,0,0,0,24,1,1,0
136,1,9,20,0,0,0,24,1,1,0
46,1,13,18,0,0,0,24,1,1,0
132,1,10,16,0,0,0,24,1,1,0
149,1,8,5,0,0,0,24,1,1,0
114,1,13,9,0,0,0,24,1,1,0
147,1,8,20,0,0,0,24,1,1,0
39,1,11,16,0,0,0,24,1,1,0
112,1,12,13,0,0,0,24,1,1,0
118,1,9,12,0,0,0,24,1,1,0
92,1,9,5,0,0,0,24,1,1,0
