login_hour,session_duration,failed_logins,pages_visited,data_transferred,label
18,22,1,28,267,0
9,40,1,8,30,0
14,114,1,19,245,0
18,32,0,26,325,0
8,25,0,22,189,0
12,24,1,13,175,0
13,103,0,1,380,0
8,43,0,18,121,0
11,28,1,6,309,0
14,55,0,13,428,0
8,117,1,30,441,0
16,96,0,15,194,0
13,38,1,22,456,0
9,54,1,18,114,0
17,34,1,3,180,0
11,36,1,10,296,0
12,95,0,29,22,0
9,107,0,15,82,0
11,119,1,16,27,0
17,92,1,25,163,0
15,44,0,18,174,0
9,45,0,30,210,0
13,105,0,2,49,0
10,32,1,4,234,0
9,34,1,9,64,0
18,9,0,25,270,0
15,49,0,16,252,0
17,84,0,14,421,0
11,67,0,18,207,0
8,103,0,19,479,0
9,10,1,30,284,0
13,22,1,8,315,0
18,92,1,24,359,0
10,90,0,18,230,0
15,86,1,5,107,0
10,22,0,19,493,0
11,18,0,20,468,0
16,84,1,27,258,0
8,119,1,22,242,0
14,39,1,11,225,0
17,28,1,6,171,0
11,48,0,18,216,0
10,11,0,7,281,0
13,117,0,29,317,0
18,98,0,24,182,0
12,113,0,26,279,0
11,106,1,13,388,0
16,23,0,21,159,0
16,6,0,15,266,0
10,90,0,27,300,0
18,120,1,26,368,0
11,45,1,15,31,0
8,35,0,15,61,0
14,119,0,6,23,0
9,99,0,10,285,0
8,28,0,8,376,0
17,116,1,12,274,0
14,5,0,29,332,0
14,71,1,30,494,0
8,43,1,10,403,0
15,55,1,23,121,0
15,41,0,25,444,0
16,79,1,15,229,0
13,26,0,17,364,0
17,110,0,3,153,0
8,82,1,14,68,0
11,58,1,23,406,0
13,120,0,19,223,0
16,81,1,4,240,0
17,99,1,16,10,0
15,68,1,9,175,0
15,13,0,4,86,0
11,82,1,2,370,0
10,106,1,9,462,0
14,48,1,9,374,0
18,58,0,22,70,0
15,63,1,4,392,0
11,84,0,3,216,0
15,97,1,4,189,0
15,88,0,13,160,0
11,26,1,7,390,0
18,61,1,9,167,0
17,26,0,14,364,0
15,116,1,17,224,0
15,95,1,9,136,0
14,37,1,6,320,0
13,18,0,26,213,0
14,64,1,5,137,0
12,7,1,22,386,0
12,97,1,25,58,0
14,6,0,1,227,0
15,29,0,12,115,0
18,35,1,12,279,0
8,109,1,14,371,0
15,100,1,27,316,0
17,29,1,27,134,0
15,67,1,26,459,0
10,104,1,6,241,0
16,84,0,24,308,0
16,89,0,29,31,0
9,8,1,23,19,0
12,118,0,28,375,0
13,73,1,18,14,0
11,119,1,27,173,0
10,86,1,19,443,0
16,59,0,17,222,0
17,91,0,29,471,0
15,92,1,7,218,0
17,64,1,16,492,0
15,43,0,11,86,0
16,42,0,20,467,0
9,119,1,12,184,0
12,115,1,9,210,0
11,11,0,23,317,0
13,38,1,30,80,0
17,34,0,18,135,0
8,69,1,17,183,0
12,40,0,16,318,0
18,62,0,12,296,0
8,14,1,26,493,0
10,18,1,28,195,0
9,25,1,4,53,0
13,76,0,19,310,0
18,51,1,9,297,0
14,47,0,28,336,0
16,19,0,14,53,0
15,23,1,14,401,0
10,117,1,28,341,0
13,20,0,13,16,0
17,87,1,19,215,0
17,75,0,12,406,0
16,86,1,28,192,0
12,93,1,15,344,0
8,115,1,19,470,0
18,71,1,13,384,0
9,93,0,13,27,0
14,84,0,4,468,0
18,28,1,29,39,0
9,118,0,5,350,0
17,109,1,3,77,0
